Time,Speed_kmh,SOC_%,Temp_C,Torque_Nm,RPM,Throttle_%,Brake_%,Mode,G_Force,Distance_km,CAN_ID
04:12:49,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:50,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:51,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:52,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:53,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:54,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:55,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:56,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:57,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:58,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:59,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:13:00,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:13:01,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:13:02,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:13:03,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:13:04,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:13:05,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:13:06,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:13:07,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:13:08,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:13:09,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:13:10,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:13:11,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:13:12,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:13:13,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:13:14,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:13:15,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:13:16,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:13:17,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
